Layer1_Name,Layer1_units,Layer1_activation,Layer2_Name,Layer2_units,Layer2_activation,Layer3_Name,Layer3_units,Layer3_activation,Layer4_Name,Layer4_units,Layer4_activation,LearningRate,Optimizer,Loss,Batch,Epoch,SuccessRate,WinRate
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,0.1,SGD,MeanSquaredError,100,3,77.88000000000001,11.1
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,0.1,SGD,MeanSquaredError,100,3,56.36,4.2
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,0.1,SGD,MeanSquaredError,100,3,58.709999999999994,2.0
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,0.01,SGD,CategoricalCrossentropy,100,3,67.22,4.2
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,0.01,SGD,CategoricalCrossentropy,100,3,78.95,15.6
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,1.0,SGD,CategoricalCrossentropy,100,5,68.27,5.3
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,1.0,SGD,CategoricalCrossentropy,100,10,66.88,3.4
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,0.1,SGD,CategoricalCrossentropy,100,5,69.68,2.4
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,0.1,SGD,CategoricalCrossentropy,100,10,63.42,4.1
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,0.01,SGD,CategoricalCrossentropy,100,5,65.63,4.7
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,softmax,0.01,SGD,CategoricalCrossentropy,100,10,66.35,3.9
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,1.0,SGD,CategoricalCrossentropy,100,5,95.41,58.5
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,1.0,SGD,CategoricalCrossentropy,100,10,95.99,66.6
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,0.1,SGD,CategoricalCrossentropy,100,5,93.88,45.3
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,0.1,SGD,CategoricalCrossentropy,100,10,95.45,55.5
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,0.01,SGD,CategoricalCrossentropy,100,5,84.19,22.5
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,sigmoid,0.01,SGD,CategoricalCrossentropy,100,10,89.81,42.4
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,1.0,SGD,CategoricalCrossentropy,100,5,95.58,79.8
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,1.0,SGD,CategoricalCrossentropy,100,10,96.37,74.8
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,0.1,SGD,CategoricalCrossentropy,100,5,92.26,38.0
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,0.1,SGD,CategoricalCrossentropy,100,10,95.5,67.3
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,0.01,SGD,CategoricalCrossentropy,100,5,84.37,23.9
Dense,500,relu,Dense,250,relu,Dense,125,relu,Dense,25,None,0.01,SGD,CategoricalCrossentropy,100,10,90.14,44.4
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,1.0,SGD,CategoricalCrossentropy,30,3,92.66,35.7
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,None,0.01,SGD,MeanSquaredError,30,3,54.46,4.2
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,None,0.01,SGD,CategoricalCrossentropy,30,3,63.99,2.6
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,None,0.1,SGD,MeanSquaredError,30,3,54.57,3.5
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,None,0.1,SGD,CategoricalCrossentropy,30,3,64.91,4.9
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,None,1.0,SGD,MeanSquaredError,30,3,58.41,2.8
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,None,1.0,SGD,CategoricalCrossentropy,30,3,64.84,6.9
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,sigmoid,0.01,SGD,MeanSquaredError,30,3,54.1,3.0
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,sigmoid,0.01,SGD,CategoricalCrossentropy,30,3,54.65,4.4
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,sigmoid,0.1,SGD,MeanSquaredError,30,3,54.68,3.7
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,sigmoid,0.1,SGD,CategoricalCrossentropy,30,3,55.67,2.8
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,sigmoid,1.0,SGD,MeanSquaredError,30,3,54.68,4.6
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,sigmoid,1.0,SGD,CategoricalCrossentropy,30,3,59.08,3.3
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,softmax,0.01,SGD,MeanSquaredError,30,3,57.9,2.7
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,softmax,0.01,SGD,CategoricalCrossentropy,30,3,54.56,4.5
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,softmax,0.1,SGD,MeanSquaredError,30,3,53.58,4.9
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,softmax,0.1,SGD,CategoricalCrossentropy,30,3,56.93,3.1
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,softmax,1.0,SGD,MeanSquaredError,30,3,54.53,4.2
Dense,500,softmax,Dense,250,softmax,Dense,125,softmax,Dense,25,softmax,1.0,SGD,CategoricalCrossentropy,30,3,57.43,2.9
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,None,0.01,SGD,MeanSquaredError,30,3,80.96,18.9
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,None,0.01,SGD,CategoricalCrossentropy,30,3,62.94,1.8
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,None,0.1,SGD,MeanSquaredError,30,3,86.81,40.9
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,None,0.1,SGD,CategoricalCrossentropy,30,3,67.62,2.6
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,None,1.0,SGD,MeanSquaredError,30,3,61.88,1.2
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,None,1.0,SGD,CategoricalCrossentropy,30,3,67.43,4.7
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,0.01,SGD,MeanSquaredError,30,3,59.56,4.1
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,0.01,SGD,CategoricalCrossentropy,30,3,89.3,56.4
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,0.1,SGD,MeanSquaredError,30,3,50.25,2.2
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,0.1,SGD,CategoricalCrossentropy,30,3,93.89,58.0
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,1.0,SGD,MeanSquaredError,30,3,82.8,41.4
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,sigmoid,1.0,SGD,CategoricalCrossentropy,30,3,92.85,52.6
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,softmax,0.01,SGD,MeanSquaredError,30,3,58.01,5.3
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,softmax,0.01,SGD,CategoricalCrossentropy,30,3,89.12,59.2
Dense,500,tanh,Dense,250,tanh,Dense,125,tanh,Dense,25,softmax,0.1,SGD,MeanSquaredError,30,3,65.14,4.8
